aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/cristian-garin/gd64/player-stats?year=2017&surfaceType=clay,2017
11,11,58%,64%,44%,34,56%,41,63%,56%,25%,46%,24,21%,41,12%,33%,44%,https://www.atptour.com/en/players/paul-henri-mathieu/m850/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/hiroki-moriya/mi01/player-stats?year=2017&surfaceType=clay,2017
13,5,59%,69%,57%,18,72%,24,79%,64%,35%,44%,21,19%,25,16%,37%,49%,https://www.atptour.com/en/players/teymuraz-gabashvili/g681/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/vaclav-safranek/sn77/player-stats?year=2017&surfaceType=clay,2017
2,2,51%,66%,49%,8,63%,11,73%,57%,23%,37%,3,33%,10,10%,28%,44%,https://www.atptour.com/en/players/marco-chiudinelli/c582/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ilya-ivashka/i305/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dennis-novikov/n674/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jaume-munar/mu94/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/mackenzie-mcdonald/mk66/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/tim-smyczek/sf62/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/soonwoo-kwon/kf17/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/john-patrick-smith/sj55/player-stats?year=2017&surfaceType=clay,2017
8,10,54%,69%,53%,19,68%,25,76%,61%,24%,36%,9,33%,26,12%,29%,46%,https://www.atptour.com/en/players/elias-ymer/y218/player-stats?year=2017&surfaceType=clay,2017
7,13,58%,69%,39%,15,67%,19,74%,56%,23%,29%,5,20%,20,5%,26%,43%,https://www.atptour.com/en/players/daniel-brands/bc72/player-stats?year=2017&surfaceType=clay,2017
0,0,52%,42%,55%,2,0%,4,50%,48%,25%,33%,1,100%,4,25%,26%,38%,https://www.atptour.com/en/players/noah-rubin/rc96/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/joris-de-loore/da86/player-stats?year=2017&surfaceType=clay,2017
8,22,56%,63%,47%,36,47%,51,63%,56%,23%,51%,25,48%,51,24%,37%,47%,https://www.atptour.com/en/players/marco-trungelliti/ta29/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/mitchell-krueger/kc12/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jan-satral/sk67/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/brayden-schnur/sp24/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/dmitry-popko/pg20/player-stats?year=2017&surfaceType=clay,2017
1,7,66%,64%,43%,25,68%,29,72%,57%,33%,54%,16,63%,30,33%,41%,50%,https://www.atptour.com/en/players/maximo-gonzalez/g585/player-stats?year=2017&surfaceType=clay,2017
6,6,56%,65%,43%,28,64%,28,64%,55%,26%,49%,18,33%,27,22%,36%,46%,https://www.atptour.com/en/players/benjamin-bonzi/bm95/player-stats?year=2017&surfaceType=clay,2017
14,6,60%,67%,50%,30,60%,43,72%,60%,28%,57%,32,31%,44,23%,38%,49%,https://www.atptour.com/en/players/stefano-napolitano/n679/player-stats?year=2017&surfaceType=clay,2017
10,6,61%,74%,43%,14,64%,21,76%,62%,24%,42%,8,38%,19,16%,31%,48%,https://www.atptour.com/en/players/gleb-sakharov/sj22/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yasutaka-uchiyama/u134/player-stats?year=2017&surfaceType=clay,2017
1,4,66%,63%,35%,7,43%,9,56%,53%,17%,40%,2,0%,8,0%,25%,41%,https://www.atptour.com/en/players/lorenzo-giustino/ga79/player-stats?year=2017&surfaceType=clay,2017
4,4,63%,60%,39%,11,45%,12,50%,53%,21%,42%,1,0%,12,0%,30%,41%,https://www.atptour.com/en/players/alex-de-minaur/dh58/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yannick-maden/mh16/player-stats?year=2017&surfaceType=clay,2017
6,1,70%,68%,45%,14,50%,31,77%,61%,31%,41%,16,38%,33,18%,34%,47%,https://www.atptour.com/en/players/joao-domingues/d985/player-stats?year=2017&surfaceType=clay,2017
8,8,66%,60%,51%,30,67%,34,71%,57%,38%,49%,20,55%,34,32%,42%,50%,https://www.atptour.com/en/players/andrej-martin/mf35/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alexey-vatutin/v717/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/lukas-rosol/r685/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/aldin-setkic/sf41/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ricardo-ojeda-lara/o408/player-stats?year=2017&surfaceType=clay,2017
8,3,53%,76%,63%,10,90%,15,93%,70%,16%,42%,4,25%,16,6%,26%,49%,https://www.atptour.com/en/players/reilly-opelka/o522/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sam-groth/g940/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/denis-kudla/kb09/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/tobias-kamke/k839/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/calvin-hemery-/hb48/player-stats?year=2017&surfaceType=clay,2017
4,16,60%,60%,47%,53,68%,50,66%,55%,27%,52%,24,42%,48,21%,36%,47%,https://www.atptour.com/en/players/donald-young/y124/player-stats?year=2008&surfaceType=clay,2008
25,25,66%,65%,48%,110,60%,156,72%,59%,27%,52%,67,51%,158,22%,36%,48%,https://www.atptour.com/en/players/tommy-robredo/r419/player-stats?year=2017&surfaceType=clay,2017
5,3,65%,65%,35%,8,63%,9,67%,55%,21%,62%,7,0%,9,0%,33%,43%,https://www.atptour.com/en/players/amer-delic/d438/player-stats?year=2008&surfaceType=clay,2008
41,13,60%,69%,45%,62,58%,92,72%,60%,25%,44%,35,37%,90,14%,32%,46%,https://www.atptour.com/en/players/thomas-johansson/j129/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jesse-levine/l799/player-stats?year=2008&surfaceType=clay,2008
2,4,63%,49%,48%,8,25%,11,45%,48%,14%,33%,0,0%,12,0%,21%,34%,https://www.atptour.com/en/players/adrian-mannarino/me82/player-stats?year=2008&surfaceType=clay,2008
19,8,67%,61%,56%,39,67%,43,70%,59%,30%,36%,16,44%,42,17%,33%,47%,https://www.atptour.com/en/players/victor-crivoi/c856/player-stats?year=2008&surfaceType=clay,2008
7,22,61%,64%,45%,99,65%,105,67%,57%,33%,49%,66,42%,105,27%,39%,48%,https://www.atptour.com/en/players/maximo-gonzalez/g585/player-stats?year=2008&surfaceType=clay,2008
32,37,65%,69%,45%,71,58%,110,73%,61%,29%,44%,46,46%,110,19%,35%,48%,https://www.atptour.com/en/players/michael-berrer/b678/player-stats?year=2008&surfaceType=clay,2008
28,3,62%,74%,43%,26,69%,40,80%,62%,32%,45%,16,44%,39,18%,36%,50%,https://www.atptour.com/en/players/frank-dancevic/d499/player-stats?year=2008&surfaceType=clay,2008
4,0,53%,56%,46%,12,50%,13,54%,51%,20%,35%,2,50%,13,8%,26%,39%,https://www.atptour.com/en/players/simon-greul/g511/player-stats?year=2008&surfaceType=clay,2008
18,3,52%,72%,56%,22,64%,37,78%,64%,20%,35%,10,30%,39,8%,25%,45%,https://www.atptour.com/en/players/benjamin-becker/b896/player-stats?year=2008&surfaceType=clay,2008
17,12,52%,68%,57%,19,58%,39,79%,62%,23%,44%,17,35%,39,15%,33%,48%,https://www.atptour.com/en/players/stephane-bohli/b752/player-stats?year=2008&surfaceType=clay,2008
2,21,71%,59%,41%,85,65%,71,58%,54%,32%,56%,72,28%,73,27%,41%,47%,https://www.atptour.com/en/players/flavio-cipolla/c723/player-stats?year=2008&surfaceType=clay,2008
3,7,69%,59%,53%,18,39%,30,63%,57%,32%,50%,18,33%,31,19%,37%,46%,https://www.atptour.com/en/players/daniel-koellerer/k551/player-stats?year=2008&surfaceType=clay,2008
74,42,59%,67%,44%,161,63%,194,69%,58%,28%,51%,100,44%,196,22%,37%,48%,https://www.atptour.com/en/players/jiri-vanek/v207/player-stats?year=2008&surfaceType=clay,2008
26,30,65%,64%,51%,109,67%,139,74%,59%,27%,49%,72,35%,142,18%,36%,48%,https://www.atptour.com/en/players/olivier-rochus/r397/player-stats?year=2008&surfaceType=clay,2008
69,57,54%,67%,48%,147,57%,211,70%,58%,33%,47%,112,45%,209,24%,38%,49%,https://www.atptour.com/en/players/santiago-ventura/v251/player-stats?year=2008&surfaceType=clay,2008
12,32,54%,66%,43%,56,54%,75,65%,56%,33%,47%,45,40%,72,25%,39%,47%,https://www.atptour.com/en/players/ruben-ramirez-hidalgo/r383/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/bjorn-phau/p436/player-stats?year=2008&surfaceType=clay,2008
47,16,61%,68%,48%,84,61%,132,75%,60%,35%,52%,92,43%,130,31%,42%,52%,https://www.atptour.com/en/players/wayne-odesnik/o234/player-stats?year=2008&surfaceType=clay,2008
50,31,61%,65%,49%,128,55%,190,70%,59%,33%,51%,149,34%,195,26%,40%,49%,https://www.atptour.com/en/players/sergio-roitman/r388/player-stats?year=2008&surfaceType=clay,2008
39,17,63%,66%,49%,61,54%,92,70%,59%,35%,48%,66,36%,90,27%,40%,50%,https://www.atptour.com/en/players/robin-haase/h756/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/kevin-kim/k358/player-stats?year=2008&surfaceType=clay,2008
15,7,53%,87%,51%,6,17%,19,74%,70%,25%,58%,12,33%,18,22%,37%,53%,https://www.atptour.com/en/players/leonardo-mayer/md56/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/go-soeda/sc47/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/thiago-alves/a410/player-stats?year=2008&surfaceType=clay,2008
9,16,63%,65%,47%,55,62%,71,70%,58%,34%,44%,49,33%,73,22%,38%,48%,https://www.atptour.com/en/players/dudi-sela/sc56/player-stats?year=2008&surfaceType=clay,2008
7,5,68%,67%,47%,22,55%,40,75%,61%,27%,51%,24,42%,41,24%,36%,48%,https://www.atptour.com/en/players/fred-gil/g717/player-stats?year=2008&surfaceType=clay,2008
65,43,73%,69%,51%,105,55%,228,79%,64%,28%,47%,116,37%,223,19%,35%,50%,https://www.atptour.com/en/players/luis-horna/h390/player-stats?year=2008&surfaceType=clay,2008
8,10,65%,63%,44%,61,72%,51,67%,56%,29%,60%,29,55%,53,30%,40%,49%,https://www.atptour.com/en/players/paul-capdeville/c634/player-stats?year=2008&surfaceType=clay,2008
22,16,61%,68%,51%,23,57%,51,80%,61%,21%,50%,18,33%,50,12%,31%,47%,https://www.atptour.com/en/players/andreas-beck/ba86/player-stats?year=2008&surfaceType=clay,2008
17,17,64%,65%,51%,56,57%,93,74%,60%,31%,46%,54,35%,96,20%,36%,48%,https://www.atptour.com/en/players/hyung-taik-lee/l311/player-stats?year=2008&surfaceType=clay,2008
40,47,63%,66%,48%,98,59%,143,72%,59%,31%,49%,77,39%,145,21%,37%,48%,https://www.atptour.com/en/players/evgeny-korolev/k760/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/denis-istomin/i165/player-stats?year=2008&surfaceType=clay,2008
10,2,67%,63%,50%,10,80%,9,78%,59%,18%,30%,0,0%,10,0%,23%,44%,https://www.atptour.com/en/players/kevin-anderson/a678/player-stats?year=2008&surfaceType=clay,2008
10,41,74%,60%,50%,196,64%,217,67%,58%,35%,55%,153,45%,218,32%,42%,50%,https://www.atptour.com/en/players/filippo-volandri/v254/player-stats?year=2008&surfaceType=clay,2008
14,17,78%,65%,47%,61,62%,97,76%,61%,35%,52%,78,33%,96,27%,41%,51%,https://www.atptour.com/en/players/pablo-andujar/a596/player-stats?year=2008&surfaceType=clay,2008
17,6,67%,66%,58%,35,63%,69,81%,64%,36%,51%,53,42%,71,31%,41%,52%,https://www.atptour.com/en/players/brian-dabul/d556/player-stats?year=2008&surfaceType=clay,2008
17,15,58%,67%,49%,40,48%,67,69%,59%,33%,51%,54,31%,69,25%,40%,49%,https://www.atptour.com/en/players/alberto-martin/m590/player-stats?year=2008&surfaceType=clay,2008
51,26,60%,65%,49%,94,46%,165,69%,59%,32%,48%,76,51%,166,23%,38%,48%,https://www.atptour.com/en/players/ivo-minar/ma41/player-stats?year=2008&surfaceType=clay,2008
5,8,49%,63%,39%,16,63%,13,54%,51%,26%,32%,2,50%,13,8%,28%,42%,https://www.atptour.com/en/players/marcos-baghdatis/b837/player-stats?year=2008&surfaceType=clay,2008
5,6,71%,70%,47%,17,53%,32,75%,63%,26%,54%,14,57%,31,26%,39%,51%,https://www.atptour.com/en/players/sebastian-decoud/d479/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/robert-kendrick/k448/player-stats?year=2008&surfaceType=clay,2008
2,3,62%,50%,59%,7,43%,9,56%,53%,17%,44%,2,50%,9,11%,31%,43%,https://www.atptour.com/en/players/thierry-ascione/a356/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ricardo-mello/m708/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/carlos-salamanca/sb28/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/david-guez/g753/player-stats?year=2009&surfaceType=clay,2009
3,4,65%,60%,56%,14,36%,23,61%,58%,17%,40%,6,50%,24,13%,25%,43%,https://www.atptour.com/en/players/thiago-alves/a410/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dustin-brown/ba65/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/lukas-rosol/r685/player-stats?year=2009&surfaceType=clay,2009
2,5,46%,60%,48%,7,57%,8,63%,54%,10%,47%,0,0%,9,0%,23%,40%,https://www.atptour.com/en/players/lamine-ouahab/o207/player-stats?year=2009&surfaceType=clay,2009
1,4,66%,63%,38%,8,50%,12,67%,55%,22%,44%,3,67%,12,17%,31%,45%,https://www.atptour.com/en/players/dominik-hrbaty/h377/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/frank-dancevic/d499/player-stats?year=2009&surfaceType=clay,2009
43,19,58%,72%,44%,42,60%,60,72%,61%,24%,40%,22,32%,60,12%,31%,47%,https://www.atptour.com/en/players/robert-kendrick/k448/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/brendan-evans/e254/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sebastien-de-chaunac/d351/player-stats?year=2009&surfaceType=clay,2009
4,4,38%,67%,47%,12,50%,14,57%,55%,13%,47%,1,100%,13,8%,28%,43%,https://www.atptour.com/en/players/laurent-recouderc/r628/player-stats?year=2009&surfaceType=clay,2009
30,19,55%,66%,48%,62,63%,73,68%,58%,27%,50%,28,46%,70,19%,34%,47%,https://www.atptour.com/en/players/ivo-minar/ma41/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/chris-guccione/g621/player-stats?year=2009&surfaceType=clay,2009
14,21,56%,65%,50%,33,55%,48,69%,58%,31%,50%,26,35%,47,19%,37%,48%,https://www.atptour.com/en/players/andrey-golubev/g806/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/carsten-ball/bd59/player-stats?year=2009&surfaceType=clay,2009
19,14,52%,68%,51%,39,56%,59,71%,60%,27%,44%,30,33%,57,18%,34%,47%,https://www.atptour.com/en/players/stefan-koubek/k310/player-stats?year=2009&surfaceType=clay,2009
12,5,55%,64%,53%,17,53%,33,76%,59%,30%,46%,15,40%,33,18%,36%,48%,https://www.atptour.com/en/players/mikhail-kukushkin/k926/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alexandr-dolgopolov/d801/player-stats?year=2009&surfaceType=clay,2009
38,37,63%,69%,54%,70,47%,152,76%,63%,31%,51%,106,38%,151,26%,38%,50%,https://www.atptour.com/en/players/paul-capdeville/c634/player-stats?year=2009&surfaceType=clay,2009
18,15,63%,71%,49%,35,57%,70,79%,63%,25%,52%,36,31%,72,15%,35%,49%,https://www.atptour.com/en/players/josselin-ouanna/o264/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/somdev-devvarman/d616/player-stats?year=2009&surfaceType=clay,2009
28,44,59%,66%,49%,130,56%,189,70%,59%,30%,50%,105,41%,194,22%,37%,48%,https://www.atptour.com/en/players/alberto-martin/m590/player-stats?year=2009&surfaceType=clay,2009
76,40,62%,71%,47%,89,53%,177,76%,62%,28%,45%,75,37%,181,15%,34%,48%,https://www.atptour.com/en/players/ivan-navarro/n309/player-stats?year=2009&surfaceType=clay,2009
19,12,58%,73%,46%,35,60%,62,77%,62%,28%,45%,31,26%,63,13%,34%,47%,https://www.atptour.com/en/players/steve-darcis/d632/player-stats?year=2009&surfaceType=clay,2009
9,13,69%,64%,52%,47,62%,75,76%,60%,31%,56%,48,44%,76,28%,41%,51%,https://www.atptour.com/en/players/rui-machado/ma49/player-stats?year=2009&surfaceType=clay,2009
52,18,61%,70%,50%,76,59%,126,75%,62%,30%,47%,90,29%,127,20%,37%,49%,https://www.atptour.com/en/players/victor-crivoi/c856/player-stats?year=2009&surfaceType=clay,2009
3,1,76%,59%,36%,12,50%,14,57%,53%,34%,46%,7,57%,15,27%,38%,46%,https://www.atptour.com/en/players/blaz-kavcic/k834/player-stats?year=2009&surfaceType=clay,2009
31,9,55%,70%,49%,38,61%,58,74%,61%,31%,47%,30,47%,59,24%,38%,50%,https://www.atptour.com/en/players/pere-riba/r750/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/illya-marchenko/me89/player-stats?year=2009&surfaceType=clay,2009
15,4,66%,71%,54%,9,44%,25,80%,65%,26%,54%,9,78%,26,27%,38%,52%,https://www.atptour.com/en/players/paul-capdeville/c634/player-stats?year=2013&surfaceType=clay,2013
0,4,60%,57%,54%,12,67%,15,73%,56%,14%,53%,2,50%,16,6%,28%,44%,https://www.atptour.com/en/players/illya-marchenko/me89/player-stats?year=2013&surfaceType=clay,2013
1,1,64%,70%,46%,7,29%,15,67%,62%,19%,48%,3,67%,16,13%,29%,44%,https://www.atptour.com/en/players/florent-serra/s963/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/inigo-cervantes/ca33/player-stats?year=2013&surfaceType=clay,2013
6,2,58%,70%,38%,8,38%,13,62%,57%,29%,36%,6,17%,14,7%,32%,43%,https://www.atptour.com/en/players/nicolas-mahut/m873/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jonathan-dasnieres-de-veigy/d729/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alex-bogomolov-jr./b842/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/uladzimir-ignatik/i236/player-stats?year=2013&surfaceType=clay,2013
4,3,61%,72%,50%,8,63%,13,77%,64%,18%,32%,2,50%,13,8%,22%,45%,https://www.atptour.com/en/players/marco-chiudinelli/c582/player-stats?year=2013&surfaceType=clay,2013
10,1,57%,66%,51%,15,60%,19,68%,60%,18%,36%,1,0%,18,0%,24%,43%,https://www.atptour.com/en/players/marius-copil/ca99/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/mischa-zverev/z168/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yuichi-sugita/se73/player-stats?year=2013&surfaceType=clay,2013
9,10,55%,66%,48%,28,68%,32,72%,58%,22%,44%,10,50%,32,16%,30%,46%,https://www.atptour.com/en/players/steve-johnson/j386/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/thiago-alves/a410/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/frank-dancevic/d499/player-stats?year=2013&surfaceType=clay,2013
6,9,52%,62%,51%,39,64%,40,65%,56%,38%,45%,24,50%,40,30%,40%,49%,https://www.atptour.com/en/players/gastao-elias/e698/player-stats?year=2013&surfaceType=clay,2013
