aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/victor-estrella-burgos/e224/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/dzmitry-zhyrmont/z248/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alexander-lobkov/la45/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/rubin-statham/sf89/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/maximiliano-estevez/e708/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/leandro-migani/mb60/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/nicolas-barrientos/bc76/player-stats?year=2013&surfaceType=clay,2013
11,17,58%,63%,54%,34,47%,54,67%,59%,31%,51%,41,41%,54,31%,39%,49%,https://www.atptour.com/en/players/henri-laaksonen/l949/player-stats?year=2013&surfaceType=clay,2013
1,1,53%,63%,33%,9,56%,8,50%,49%,31%,32%,1,0%,8,0%,32%,40%,https://www.atptour.com/en/players/gerald-melzer/mi43/player-stats?year=2013&surfaceType=clay,2013
1,2,48%,56%,30%,9,44%,8,38%,42%,21%,61%,4,25%,8,13%,38%,40%,https://www.atptour.com/en/players/boy-westerhof/w483/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/mirza-basic/be67/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/renzo-olivo/o376/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/taro-daniel/da81/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/florian-reynet/r895/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/laurent-rochette/r822/player-stats?year=2013&surfaceType=clay,2013
